stationName,code,stateName,countryName,zoneRuleLocal,zoneRuleCrossState,etaHoursLocal,etaHoursCrossState
Nkwerre,IM-NKWERR-0306,Imo,Nigeria,Zone 1,Zone 4,6,24
Nwangele,IM-NWANGE-0307,Imo,Nigeria,Zone 1,Zone 4,6,24
Obowo,IM-OBOWO-0308,Imo,Nigeria,Zone 1,Zone 4,6,24
Oguta,IM-OGUTA-0309,Imo,Nigeria,Zone 1,Zone 4,6,24
Ohaji/Egbema,IM-OHAJI-0310,Imo,Nigeria,Zone 1,Zone 4,6,24
Okigwe,IM-OKIGWE-0311,Imo,Nigeria,Zone 1,Zone 4,6,24
Onuimo,IM-ONUIMO-0312,Imo,Nigeria,Zone 1,Zone 4,6,24
Orlu,IM-ORLU-0313,Imo,Nigeria,Zone 1,Zone 4,6,24
Orsu,IM-ORSU-0314,Imo,Nigeria,Zone 1,Zone 4,6,24
Oru East,IM-ORUEA-0315,Imo,Nigeria,Zone 1,Zone 4,6,24
Oru West,IM-ORUWE-0316,Imo,Nigeria,Zone 1,Zone 4,6,24
Owerri Municipal,IM-OWERRI-0317,Imo,Nigeria,Zone 1,Zone 4,6,24
Owerri North,IM-OWERRI-0318,Imo,Nigeria,Zone 1,Zone 4,6,24
Owerri West,IM-OWERRI-0319,Imo,Nigeria,Zone 1,Zone 4,6,24
Auyo,JI-AUYO-0320,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Babura,JI-BABURA-0321,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Biriniwa,JI-BIRINI-0322,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Birnin Kudu,JI-BIRNIN-0323,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Buji,JI-BUJI-0324,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Dutse,JI-DUTSE-0325,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Gagarawa,JI-GAGARA-0326,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Garki,JI-GARKI-0327,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Gumel,JI-GUMEL-0328,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Guri,JI-GURI-0329,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Gwaram,JI-GWARAM-0330,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Gwiwa,JI-GWIWA-0331,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Hadejia,JI-HADEJI-0332,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Jahun,JI-JAHUN-0333,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Kafin Hausa,JI-KAFIN-0334,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Kaugama,JI-KAUGAM-0335,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Kazaure,JI-KAZAUR-0336,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Kiri Kasama,JI-KIRIK-0337,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Kiyawa,JI-KIYAWA-0338,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Maigatari,JI-MAIGAT-0339,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Malam Madori,JI-MALAM-0340,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Miga,JI-MIGA-0341,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Ringim,JI-RINGIM-0342,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Roni,JI-RONI-0343,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Sule Tankarkar,JI-SULET-0344,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Taura,JI-TAURA-0345,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Yankwashi,JI-YANKWA-0346,Jigawa,Nigeria,Zone 1,Zone 4,6,24
Birnin Gwari,KD-BIRNIN-0347,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Chikun,KD-CHIKUN-0348,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Giwa,KD-GIWA-0349,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Igabi,KD-IGABI-0350,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Ikara,KD-IKARA-0351,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Jaba,KD-JABA-0352,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Jema'a,KD-JEMAA-0353,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Kachia,KD-KACHIA-0354,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Kaduna North,KD-KADUNA-0355,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Kaduna South,KD-KADUNA-0356,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Kagarko,KD-KAGARK-0357,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Kajuru,KD-KAJURU-0358,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Kaura,KD-KAURA-0359,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Kauru,KD-KAURU-0360,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Kubau,KD-KUBAU-0361,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Kudan,KD-KUDAN-0362,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Lere,KD-LERE-0363,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Makarfi,KD-MAKARF-0364,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Sabon Gari,KD-SABON-0365,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Sanga,KD-SANGA-0366,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Soba,KD-SOBA-0367,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Zangon Kataf,KD-ZANGON-0368,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Zaria,KD-ZARIA-0369,Kaduna,Nigeria,Zone 1,Zone 4,6,24
Ajingi,KN-AJINGI-0370,Kano,Nigeria,Zone 1,Zone 4,6,24
Albasu,KN-ALBASU-0371,Kano,Nigeria,Zone 1,Zone 4,6,24
Bagwai,KN-BAGWAI-0372,Kano,Nigeria,Zone 1,Zone 4,6,24
Bebeji,KN-BEBEJI-0373,Kano,Nigeria,Zone 1,Zone 4,6,24
Bichi,KN-BICHI-0374,Kano,Nigeria,Zone 1,Zone 4,6,24
Bunkure,KN-BUNKUR-0375,Kano,Nigeria,Zone 1,Zone 4,6,24
Dala,KN-DALA-0376,Kano,Nigeria,Zone 1,Zone 4,6,24
Dambatta,KN-DAMBAT-0377,Kano,Nigeria,Zone 1,Zone 4,6,24
Dawakin Kudu,KN-DAWAKI-0378,Kano,Nigeria,Zone 1,Zone 4,6,24
Dawakin Tofa,KN-DAWAKI-0379,Kano,Nigeria,Zone 1,Zone 4,6,24
Doguwa,KN-DOGUWA-0380,Kano,Nigeria,Zone 1,Zone 4,6,24
Fagge,KN-FAGGE-0381,Kano,Nigeria,Zone 1,Zone 4,6,24
Gabasawa,KN-GABASA-0382,Kano,Nigeria,Zone 1,Zone 4,6,24
Garko,KN-GARKO-0383,Kano,Nigeria,Zone 1,Zone 4,6,24
Garun Malam,KN-GARUN-0384,Kano,Nigeria,Zone 1,Zone 4,6,24
Gaya,KN-GAYA-0385,Kano,Nigeria,Zone 1,Zone 4,6,24
Gezawa,KN-GEZAWA-0386,Kano,Nigeria,Zone 1,Zone 4,6,24
Gwale,KN-GWALE-0387,Kano,Nigeria,Zone 1,Zone 4,6,24
Gwarzo,KN-GWARZO-0388,Kano,Nigeria,Zone 1,Zone 4,6,24
Kabo,KN-KABO-0389,Kano,Nigeria,Zone 1,Zone 4,6,24
Kano Municipal,KN-KANOM-0390,Kano,Nigeria,Zone 1,Zone 4,6,24
Karaye,KN-KARAYE-0391,Kano,Nigeria,Zone 1,Zone 4,6,24
Kibiya,KN-KIBIYA-0392,Kano,Nigeria,Zone 1,Zone 4,6,24
Kiru,KN-KIRU-0393,Kano,Nigeria,Zone 1,Zone 4,6,24
Kunchi,KN-KUNCHI-0394,Kano,Nigeria,Zone 1,Zone 4,6,24
Kura,KN-KURA-0395,Kano,Nigeria,Zone 1,Zone 4,6,24
Madobi,KN-MADOBI-0396,Kano,Nigeria,Zone 1,Zone 4,6,24
Makoda,KN-MAKODA-0397,Kano,Nigeria,Zone 1,Zone 4,6,24
Minjibir,KN-MINJIB-0398,Kano,Nigeria,Zone 1,Zone 4,6,24
Nasarawa,KN-NASARA-0399,Kano,Nigeria,Zone 1,Zone 4,6,24
Rano,KN-RANO-0400,Kano,Nigeria,Zone 1,Zone 4,6,24
Rimin Gado,KN-RIMIN-0401,Kano,Nigeria,Zone 1,Zone 4,6,24
Rogo,KN-ROGO-0402,Kano,Nigeria,Zone 1,Zone 4,6,24
Shanono,KN-SHANON-0403,Kano,Nigeria,Zone 1,Zone 4,6,24
Sumaila,KN-SUMAIL-0404,Kano,Nigeria,Zone 1,Zone 4,6,24
Takai,KN-TAKAI-0405,Kano,Nigeria,Zone 1,Zone 4,6,24
Tarauni,KN-TARAUN-0406,Kano,Nigeria,Zone 1,Zone 4,6,24
Tofa,KN-TOFA-0407,Kano,Nigeria,Zone 1,Zone 4,6,24
Tsanyawa,KN-TSANYA-0408,Kano,Nigeria,Zone 1,Zone 4,6,24
Tudun Wada,KN-TUDUN-0409,Kano,Nigeria,Zone 1,Zone 4,6,24
Ungogo,KN-UNGOGO-0410,Kano,Nigeria,Zone 1,Zone 4,6,24
Warawa,KN-WARAWA-0411,Kano,Nigeria,Zone 1,Zone 4,6,24
Wudil,KN-WUDIL-0412,Kano,Nigeria,Zone 1,Zone 4,6,24
kumbotso,KN-KUMBOT-0413,Kano,Nigeria,Zone 1,Zone 4,6,24
Bakori,KT-BAKORI-0414,Katsina,Nigeria,Zone 1,Zone 4,6,24
Batagarawa,KT-BATAGA-0415,Katsina,Nigeria,Zone 1,Zone 4,6,24
Batsari,KT-BATSAR-0416,Katsina,Nigeria,Zone 1,Zone 4,6,24
Baure,KT-BAURE-0417,Katsina,Nigeria,Zone 1,Zone 4,6,24
Bindawa,KT-BINDAW-0418,Katsina,Nigeria,Zone 1,Zone 4,6,24
Charanchi,KT-CHARAN-0419,Katsina,Nigeria,Zone 1,Zone 4,6,24
Dan Musa,KT-DANMU-0420,Katsina,Nigeria,Zone 1,Zone 4,6,24
DanDume,KT-DANDUM-0421,Katsina,Nigeria,Zone 1,Zone 4,6,24
Danja,KT-DANJA-0422,Katsina,Nigeria,Zone 1,Zone 4,6,24
Daura,KT-DAURA-0423,Katsina,Nigeria,Zone 1,Zone 4,6,24
Dutsi,KT-DUTSI-0424,Katsina,Nigeria,Zone 1,Zone 4,6,24
Dutsin-Ma,KT-DUTSIN-0425,Katsina,Nigeria,Zone 1,Zone 4,6,24
Faskari,KT-FASKAR-0426,Katsina,Nigeria,Zone 1,Zone 4,6,24
Funtua,KT-FUNTUA-0427,Katsina,Nigeria,Zone 1,Zone 4,6,24
Ingawa,KT-INGAWA-0428,Katsina,Nigeria,Zone 1,Zone 4,6,24
Jibia,KT-JIBIA-0429,Katsina,Nigeria,Zone 1,Zone 4,6,24
Kafur,KT-KAFUR-0430,Katsina,Nigeria,Zone 1,Zone 4,6,24
Kaita,KT-KAITA-0431,Katsina,Nigeria,Zone 1,Zone 4,6,24
Kankara,KT-KANKAR-0432,Katsina,Nigeria,Zone 1,Zone 4,6,24
Kankia,KT-KANKIA-0433,Katsina,Nigeria,Zone 1,Zone 4,6,24
Katsina,KT-KATSIN-0434,Katsina,Nigeria,Zone 1,Zone 4,6,24
Kurfi,KT-KURFI-0435,Katsina,Nigeria,Zone 1,Zone 4,6,24
Kusada,KT-KUSADA-0436,Katsina,Nigeria,Zone 1,Zone 4,6,24
Mai'Adua,KT-MAIAD-0437,Katsina,Nigeria,Zone 1,Zone 4,6,24
Malumfashi,KT-MALUMF-0438,Katsina,Nigeria,Zone 1,Zone 4,6,24
Mani,KT-MANI-0439,Katsina,Nigeria,Zone 1,Zone 4,6,24
Mashi,KT-MASHI-0440,Katsina,Nigeria,Zone 1,Zone 4,6,24
Matazu,KT-MATAZU-0441,Katsina,Nigeria,Zone 1,Zone 4,6,24
Musawa,KT-MUSAWA-0442,Katsina,Nigeria,Zone 1,Zone 4,6,24
Rimi,KT-RIMI-0443,Katsina,Nigeria,Zone 1,Zone 4,6,24
Sabuwa,KT-SABUWA-0444,Katsina,Nigeria,Zone 1,Zone 4,6,24
Safana,KT-SAFANA-0445,Katsina,Nigeria,Zone 1,Zone 4,6,24
Sandamu,KT-SANDAM-0446,Katsina,Nigeria,Zone 1,Zone 4,6,24
Zango,KT-ZANGO-0447,Katsina,Nigeria,Zone 1,Zone 4,6,24
Aliero,KE-ALIERO-0448,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Arewa Dandi,KE-AREWA-0449,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Argungu,KE-ARGUNG-0450,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Augie,KE-AUGIE-0451,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Bagudo,KE-BAGUDO-0452,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Birnin Kebbi,KE-BIRNIN-0453,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Bunza,KE-BUNZA-0454,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Dandi,KE-DANDI-0455,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Danko-Wasagu,KE-DANKO-0456,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Fakai,KE-FAKAI-0457,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Gwandu,KE-GWANDU-0458,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Jega,KE-JEGA-0459,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Kalgo,KE-KALGO-0460,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Koko/Besse,KE-KOKOB-0461,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Maiyama,KE-MAIYAM-0462,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Ngaski,KE-NGASKI-0463,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Sakaba,KE-SAKABA-0464,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Shanga,KE-SHANGA-0465,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Suru,KE-SURU-0466,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Yauri,KE-YAURI-0467,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Zuru,KE-ZURU-0468,Kebbi,Nigeria,Zone 1,Zone 4,6,24
Adavi,KO-ADAVI-0469,Kogi,Nigeria,Zone 1,Zone 4,6,24
Ajaokuta,KO-AJAOKU-0470,Kogi,Nigeria,Zone 1,Zone 4,6,24
Ankpa,KO-ANKPA-0471,Kogi,Nigeria,Zone 1,Zone 4,6,24
Bassa,KO-BASSA-0472,Kogi,Nigeria,Zone 1,Zone 4,6,24
Dekina,KO-DEKINA-0473,Kogi,Nigeria,Zone 1,Zone 4,6,24
Ibaji,KO-IBAJI-0474,Kogi,Nigeria,Zone 1,Zone 4,6,24
Idah,KO-IDAH-0475,Kogi,Nigeria,Zone 1,Zone 4,6,24
Igalamela Odolu,KO-IGALAM-0476,Kogi,Nigeria,Zone 1,Zone 4,6,24
Ijumu,KO-IJUMU-0477,Kogi,Nigeria,Zone 1,Zone 4,6,24
Kabba/Bunu,KO-KABBA-0478,Kogi,Nigeria,Zone 1,Zone 4,6,24
Kogi,KO-KOGI-0479,Kogi,Nigeria,Zone 1,Zone 4,6,24
Lokoja,KO-LOKOJA-0480,Kogi,Nigeria,Zone 1,Zone 4,6,24
Mopa-Muro,KO-MOPAM-0481,Kogi,Nigeria,Zone 1,Zone 4,6,24
Ofu,KO-OFU-0482,Kogi,Nigeria,Zone 1,Zone 4,6,24
Ogori/Magongo,KO-OGORI-0483,Kogi,Nigeria,Zone 1,Zone 4,6,24
Okehi,KO-OKEHI-0484,Kogi,Nigeria,Zone 1,Zone 4,6,24
Okene,KO-OKENE-0485,Kogi,Nigeria,Zone 1,Zone 4,6,24
Olamaboro,KO-OLAMAB-0486,Kogi,Nigeria,Zone 1,Zone 4,6,24
Omala,KO-OMALA-0487,Kogi,Nigeria,Zone 1,Zone 4,6,24
Yagba East,KO-YAGBA-0488,Kogi,Nigeria,Zone 1,Zone 4,6,24
Yagba West,KO-YAGBA-0489,Kogi,Nigeria,Zone 1,Zone 4,6,24
Asa,KW-ASA-0490,Kwara,Nigeria,Zone 1,Zone 4,6,24
Baruten,KW-BARUTE-0491,Kwara,Nigeria,Zone 1,Zone 4,6,24
Edu,KW-EDU-0492,Kwara,Nigeria,Zone 1,Zone 4,6,24
Ekiti,KW-EKITI-0493,Kwara,Nigeria,Zone 1,Zone 4,6,24
Ifelodun,KW-IFELOD-0494,Kwara,Nigeria,Zone 1,Zone 4,6,24
Ilorin East,KW-ILORIN-0495,Kwara,Nigeria,Zone 1,Zone 4,6,24
Ilorin South,KW-ILORIN-0496,Kwara,Nigeria,Zone 1,Zone 4,6,24
Ilorin West,KW-ILORIN-0497,Kwara,Nigeria,Zone 1,Zone 4,6,24
Irepodun,KW-IREPOD-0498,Kwara,Nigeria,Zone 1,Zone 4,6,24
Isin,KW-ISIN-0499,Kwara,Nigeria,Zone 1,Zone 4,6,24
Kaiama,KW-KAIAMA-0500,Kwara,Nigeria,Zone 1,Zone 4,6,24
Moro,KW-MORO-0501,Kwara,Nigeria,Zone 1,Zone 4,6,24
Offa,KW-OFFA-0502,Kwara,Nigeria,Zone 1,Zone 4,6,24
Oke-Ero,KW-OKEER-0503,Kwara,Nigeria,Zone 1,Zone 4,6,24
Oyun,KW-OYUN-0504,Kwara,Nigeria,Zone 1,Zone 4,6,24
Pategi,KW-PATEGI-0505,Kwara,Nigeria,Zone 1,Zone 4,6,24
Agege,LA-AGEGE-0506,Lagos,Nigeria,Zone 1,Zone 4,6,24
Ajeromi-Ifelodun,LA-AJEROM-0507,Lagos,Nigeria,Zone 1,Zone 4,6,24
Alimosho,LA-ALIMOS-0508,Lagos,Nigeria,Zone 1,Zone 4,6,24
Amuwo-Odofin,LA-AMUWO-0509,Lagos,Nigeria,Zone 1,Zone 4,6,24
Apapa,LA-APAPA-0510,Lagos,Nigeria,Zone 1,Zone 4,6,24
Badagry,LA-BADAGR-0511,Lagos,Nigeria,Zone 1,Zone 4,6,24
Epe,LA-EPE-0512,Lagos,Nigeria,Zone 1,Zone 4,6,24
Eti-Osa,LA-ETIOS-0513,Lagos,Nigeria,Zone 1,Zone 4,6,24
Ibeju-Lekki,LA-IBEJU-0514,Lagos,Nigeria,Zone 1,Zone 4,6,24
Ifako-Ijaiye,LA-IFAKO-0515,Lagos,Nigeria,Zone 1,Zone 4,6,24
Ikeja,LA-IKEJA-0516,Lagos,Nigeria,Zone 1,Zone 4,6,24
Ikorodu,LA-IKOROD-0517,Lagos,Nigeria,Zone 1,Zone 4,6,24
Kosofe,LA-KOSOFE-0518,Lagos,Nigeria,Zone 1,Zone 4,6,24
Lagos Island,LA-LAGOS-0519,Lagos,Nigeria,Zone 1,Zone 4,6,24
Lagos Mainland,LA-LAGOS-0520,Lagos,Nigeria,Zone 1,Zone 4,6,24
Mushin,LA-MUSHIN-0521,Lagos,Nigeria,Zone 1,Zone 4,6,24
Ojo,LA-OJO-0522,Lagos,Nigeria,Zone 1,Zone 4,6,24
Oshodi-Isolo,LA-OSHODI-0523,Lagos,Nigeria,Zone 1,Zone 4,6,24
Somolu,LA-SOMOLU-0524,Lagos,Nigeria,Zone 1,Zone 4,6,24
Surulere,LA-SURULE-0525,Lagos,Nigeria,Zone 1,Zone 4,6,24
Akwanga,NA-AKWANG-0526,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Awe,NA-AWE-0527,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Doma,NA-DOMA-0528,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Karu,NA-KARU-0529,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Keana,NA-KEANA-0530,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Keffi,NA-KEFFI-0531,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Kokona,NA-KOKONA-0532,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Lafia,NA-LAFIA-0533,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Nasarawa,NA-NASARA-0534,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Nasarawa Egon,NA-NASARA-0535,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Obi,NA-OBI-0536,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Toto,NA-TOTO-0537,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Wamba,NA-WAMBA-0538,Nasarawa,Nigeria,Zone 1,Zone 4,6,24
Agaie,NI-AGAIE-0539,Niger,Nigeria,Zone 1,Zone 4,6,24
Agwara,NI-AGWARA-0540,Niger,Nigeria,Zone 1,Zone 4,6,24
Bida,NI-BIDA-0541,Niger,Nigeria,Zone 1,Zone 4,6,24
Borgu,NI-BORGU-0542,Niger,Nigeria,Zone 1,Zone 4,6,24
Bosso,NI-BOSSO-0543,Niger,Nigeria,Zone 1,Zone 4,6,24
Chanchaga,NI-CHANCH-0544,Niger,Nigeria,Zone 1,Zone 4,6,24
Edati,NI-EDATI-0545,Niger,Nigeria,Zone 1,Zone 4,6,24
Gbako,NI-GBAKO-0546,Niger,Nigeria,Zone 1,Zone 4,6,24
Gurara,NI-GURARA-0547,Niger,Nigeria,Zone 1,Zone 4,6,24
Katcha,NI-KATCHA-0548,Niger,Nigeria,Zone 1,Zone 4,6,24
Kontagora,NI-KONTAG-0549,Niger,Nigeria,Zone 1,Zone 4,6,24
Lapai,NI-LAPAI-0550,Niger,Nigeria,Zone 1,Zone 4,6,24
Lavun,NI-LAVUN-0551,Niger,Nigeria,Zone 1,Zone 4,6,24
Magama,NI-MAGAMA-0552,Niger,Nigeria,Zone 1,Zone 4,6,24
Mariga,NI-MARIGA-0553,Niger,Nigeria,Zone 1,Zone 4,6,24
Mashegu,NI-MASHEG-0554,Niger,Nigeria,Zone 1,Zone 4,6,24
Mokwa,NI-MOKWA-0555,Niger,Nigeria,Zone 1,Zone 4,6,24
Munya,NI-MUNYA-0556,Niger,Nigeria,Zone 1,Zone 4,6,24
Paikoro,NI-PAIKOR-0557,Niger,Nigeria,Zone 1,Zone 4,6,24
Rafi,NI-RAFI-0558,Niger,Nigeria,Zone 1,Zone 4,6,24
Rijau,NI-RIJAU-0559,Niger,Nigeria,Zone 1,Zone 4,6,24
Shiroro,NI-SHIROR-0560,Niger,Nigeria,Zone 1,Zone 4,6,24
Suleja,NI-SULEJA-0561,Niger,Nigeria,Zone 1,Zone 4,6,24
Tafa,NI-TAFA-0562,Niger,Nigeria,Zone 1,Zone 4,6,24
Wushishi,NI-WUSHIS-0563,Niger,Nigeria,Zone 1,Zone 4,6,24
Abeokuta North,OG-ABEOKU-0564,Ogun,Nigeria,Zone 1,Zone 4,6,24
Abeokuta South,OG-ABEOKU-0565,Ogun,Nigeria,Zone 1,Zone 4,6,24
Ado-Odo/Ota,OG-ADOOD-0566,Ogun,Nigeria,Zone 1,Zone 4,6,24
Ewekoro,OG-EWEKOR-0567,Ogun,Nigeria,Zone 1,Zone 4,6,24
Ifo,OG-IFO-0568,Ogun,Nigeria,Zone 1,Zone 4,6,24
Ijebu East,OG-IJEBU-0569,Ogun,Nigeria,Zone 1,Zone 4,6,24
Ijebu North,OG-IJEBU-0570,Ogun,Nigeria,Zone 1,Zone 4,6,24
Ijebu North East,OG-IJEBU-0571,Ogun,Nigeria,Zone 1,Zone 4,6,24
Ijebu Ode,OG-IJEBU-0572,Ogun,Nigeria,Zone 1,Zone 4,6,24
Ikenne,OG-IKENNE-0573,Ogun,Nigeria,Zone 1,Zone 4,6,24
Imeko Afon,OG-IMEKO-0574,Ogun,Nigeria,Zone 1,Zone 4,6,24
Ipokia,OG-IPOKIA-0575,Ogun,Nigeria,Zone 1,Zone 4,6,24
Obafemi Owode,OG-OBAFEM-0576,Ogun,Nigeria,Zone 1,Zone 4,6,24
Odeda,OG-ODEDA-0577,Ogun,Nigeria,Zone 1,Zone 4,6,24
Odogbolu,OG-ODOGBO-0578,Ogun,Nigeria,Zone 1,Zone 4,6,24
Ogun Waterside,OG-OGUNW-0579,Ogun,Nigeria,Zone 1,Zone 4,6,24
Remo North,OG-REMON-0580,Ogun,Nigeria,Zone 1,Zone 4,6,24
Shagamu,OG-SHAGAM-0581,Ogun,Nigeria,Zone 1,Zone 4,6,24
Yewa North,OG-YEWAN-0582,Ogun,Nigeria,Zone 1,Zone 4,6,24
Yewa South,OG-YEWAS-0583,Ogun,Nigeria,Zone 1,Zone 4,6,24
Akoko North East,ON-AKOKO-0584,Ondo,Nigeria,Zone 1,Zone 4,6,24
Akoko North West,ON-AKOKO-0585,Ondo,Nigeria,Zone 1,Zone 4,6,24
Akoko South East,ON-AKOKO-0586,Ondo,Nigeria,Zone 1,Zone 4,6,24
Akoko South West,ON-AKOKO-0587,Ondo,Nigeria,Zone 1,Zone 4,6,24
Akure North,ON-AKURE-0588,Ondo,Nigeria,Zone 1,Zone 4,6,24
Akure South,ON-AKURE-0589,Ondo,Nigeria,Zone 1,Zone 4,6,24
Ese Odo,ON-ESEOD-0590,Ondo,Nigeria,Zone 1,Zone 4,6,24
Idanre,ON-IDANRE-0591,Ondo,Nigeria,Zone 1,Zone 4,6,24
Ifedore,ON-IFEDOR-0592,Ondo,Nigeria,Zone 1,Zone 4,6,24
Ilaje,ON-ILAJE-0593,Ondo,Nigeria,Zone 1,Zone 4,6,24
Ile Oluji/Okeigbo,ON-ILEOL-0594,Ondo,Nigeria,Zone 1,Zone 4,6,24
Irele,ON-IRELE-0595,Ondo,Nigeria,Zone 1,Zone 4,6,24
Odigbo,ON-ODIGBO-0596,Ondo,Nigeria,Zone 1,Zone 4,6,24
Okitipupa,ON-OKITIP-0597,Ondo,Nigeria,Zone 1,Zone 4,6,24
Ondo East,ON-ONDOE-0598,Ondo,Nigeria,Zone 1,Zone 4,6,24
Ondo West,ON-ONDOW-0599,Ondo,Nigeria,Zone 1,Zone 4,6,24
Ose,ON-OSE-0600,Ondo,Nigeria,Zone 1,Zone 4,6,24
Owo,ON-OWO-0601,Ondo,Nigeria,Zone 1,Zone 4,6,24
Ayedaade,OS-AYEDAA-0602,Osun,Nigeria,Zone 1,Zone 4,6,24
Aiyedire,OS-AIYEDI-0603,Osun,Nigeria,Zone 1,Zone 4,6,24
Atakunmosa East,OS-ATAKUN-0604,Osun,Nigeria,Zone 1,Zone 4,6,24
Atakunmosa West,OS-ATAKUN-0605,Osun,Nigeria,Zone 1,Zone 4,6,24
Boluwaduro,OS-BOLUWA-0606,Osun,Nigeria,Zone 1,Zone 4,6,24
Boripe,OS-BORIPE-0607,Osun,Nigeria,Zone 1,Zone 4,6,24
Ede North,OS-EDENO-0608,Osun,Nigeria,Zone 1,Zone 4,6,24
Ede South,OS-EDESO-0609,Osun,Nigeria,Zone 1,Zone 4,6,24
Egbedore,OS-EGBEDO-0610,Osun,Nigeria,Zone 1,Zone 4,6,24
Ejigbo,OS-EJIGBO-0611,Osun,Nigeria,Zone 1,Zone 4,6,24
Ife Central,OS-IFECE-0612,Osun,Nigeria,Zone 1,Zone 4,6,24
Ife East,OS-IFEEA-0613,Osun,Nigeria,Zone 1,Zone 4,6,24
Ife North,OS-IFENO-0614,Osun,Nigeria,Zone 1,Zone 4,6,24
Ife South,OS-IFESO-0615,Osun,Nigeria,Zone 1,Zone 4,6,24
Ifedayo,OS-IFEDAY-0616,Osun,Nigeria,Zone 1,Zone 4,6,24
